These,are,the,entries
with,flavors,that,were,deleted
=====,=====,=====,=====,=====,=====,=====
EntryID,Type,Name,FlavorAssetIDs,FlavorsSize,LastPlayedAt,CreatedAt
1_r1hidiff,1,"MCP:assignment 2 briefing","1_cwyvtew4 1_73p5vig4",34099,,1360061654
1_iok8u7cm,1,"John Lewis Christmas 2010","1_dueljsbi 1_7ftsi0vk",78130,,1360061655
1_7i7gaeu8,1,"Place marketing :music tourism case study","1_rg0r7cc2 1_1gxv9oaj",57651,,1360061656
1_1siks67e,1,"MCP Assignment vidcast","1_xdht6jmo 1_4ezwu4ze",63794,,1360061657
1_et61gb26,1,"Brand Management Assignment","1_00c2v8qt 1_riimld9q",95231,,1360061658
1_lulio4uc,1,"Place Marketing case study","1_ja4o3qap 1_4kjwye94",213196,,1360061658
1_5u68aqax,1,jontan-billboards-and-novels.mov,"1_xnet25j1 1_9hxgrmer 1_vyi0810g 1_as7k6px7 1_ip3tbnvr",109463,1485284400,1360062035
1_y7n9n8ck,1,"Verdict retail knowledge centre","1_8s8g5ff7 1_tsx5ytnh",21175,,1360062067
1_e4xzb2v8,1,"JSTOR: The Business Collection","1_c9eae0uu 1_pd147avd",25394,,1360062067
1_4eeh49rw,1,"Academic OneFile","1_nseijbxp 1_c7hiltuv",24422,,1360062068
1_djkvh9fc,1,"Operations Management - Lecture 3","1_1et4drn0 1_sbsdwbsj",72396,,1360062100
1_m02fqb4r,1,"LLB LP Tort Summative Assessment Guide 2012.13","1_wn6pa6bf 1_ogizswxo",80997,,1360062117
1_bjraok97,1,"Joanne Urmston - Literature Review - Research Methods - MA AP","1_2qja4lom 1_5i6yypak",65637,,1360062118
1_tan74hsr,1,"Dity of Care - Podcast 2","1_ip2g8edu 1_pq8gbfro",34712,,1360062120
1_onkckjbr,1,"Duty of Care - Podcast 1","1_w9tnqo51 1_guj597ym",57446,,1360062120
1_fk77oa9f,1,"PODCAST FOR LECTURE 15 SHARE CAPITAL & MAINTENANCE OF CAPITAL","1_5d9wcnxo 1_7y52fssy",130355,,1360062155
1_2qs6r4vb,1,"LECTURE 14 PODCAST COMPANY CONSTITUTION","1_iyjg95xf 1_6isl099x",130354,,1360062156
